CO2 (g/s) [estimated maf],CO2 (g/s) [maf],estimated_maf,intake_pressure,intake_temperature,latitude,longitude,maf,rpm,speed
3.356775242294329,3.624733475479744,15.7432758863604,100.0,50.0,-5.800143,-35.200535,17.0,1669.0,45.0
2.9343927565937697,2.1321961620469083,13.76230202842478,87.0,50.0,-5.800209,-35.200562,10.0,1677.0,46.0
1.210485591655558,0.8528784648187634,5.677177424864566,36.0,51.0,-5.800272,-35.200584,4.0,1677.0,45.0
1.5591205319512065,2.1321961620469083,7.312275294851158,48.0,50.0,-5.800344,-35.200607,10.0,1615.0,44.0
3.3945867309433,4.051172707889126,15.920611768124076,97.0,50.0,-5.800406,-35.20063,19.0,1740.0,44.0
3.4311914699545376,3.624733475479744,16.09228799408678,100.0,50.0,-5.800468,-35.200657,17.0,1706.0,44.0
3.3351543112849438,3.624733475479744,15.641873719926386,99.0,50.0,-5.800542,-35.20068,17.0,1675.0,44.0
3.091270209499077,2.345415778251599,14.49805728255067,91.0,50.0,-5.800605,-35.200703,11.0,1689.0,45.0
1.14808860031467,0.8528784648187634,5.384535535475802,35.0,51.0,-5.800667,-35.200729,4.0,1636.0,45.0
0.849056232429707,0.6396588486140725,3.982073730095325,31.0,51.0,-5.800726,-35.200748,3.0,1366.0,44.0
0.9429123752531956,0.8528784648187634,4.422259039937488,31.0,51.0,-5.800784,-35.200768,4.0,1517.0,42.0
0.9438747967134664,0.8528784648187634,4.426772796586158,35.0,51.0,-5.800848,-35.20079,4.0,1345.0,39.0
